model,region,code,family,genus,species,parameter,estimate,na_genus
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bfoliage1,0.0861,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bfoliage2,1.6261,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bwood1,0.0787,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bwood2,2.3702,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bbark1,0.0185,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bbark2,2.2159,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bbranches1,0.023,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bbranches2,2.2678,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bfoliage1,0.0767,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bfoliage2,1.572,TRUE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood1,0.0268,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood2,1.7579,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood3,0.9871,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark1,9.00E-04,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark2,1.446,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark3,1.8839,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches1,0.047,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches2,2.9288,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches3,-1.1588,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage1,0.0551,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage2,1.785,FALSE
DBHHT,CA-AB,ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage3,0,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bwood1,0.0294,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bwood2,1.8357,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bwood3,0.864,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bbark1,0.0053,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bbark2,2.0876,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bbark3,0.5842,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bbranches1,0.0117,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bbranches2,3.5097,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bbranches3,-1.3006,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bfoliage1,0.1245,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bfoliage2,2.523,FALSE
DBHHT,"CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",ABIE.BAL,Pinaceae,Abies,balsamea,bfoliage3,-1.123,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bwood1,0.0117,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bwood2,1.7757,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bwood3,1.2555,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bbark1,0.018,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bbark2,1.8131,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bbark3,0.5144,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bbranches1,0.0112,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bbranches2,3.0861,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bbranches3,-0.7164,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bfoliage1,0.0617,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bfoliage2,1.8615,FALSE
DBHHT,"CA-AB, CA-MB, CA-NT, CA-ON, CA-SK",POPU.BAL,Salicaceae,Populus,balsamifera,bfoliage3,-0.5375,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bwood1,0.0168,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bwood2,1.9844,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bwood3,0.8989,FALSE
DBHHT,CA-ON,TILI.AME,Malvaceae,Tilia,americana,bbark1,0.0057,FALSE
