model,region,code,family,genus,species,parameter,estimate,na_genus
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SPP,NA,NA,NA,bfoliage2,1.5861,TRUE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood1,0.022,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood2,1.6469,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood3,1.1714,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark1,0.0061,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark2,1.8603,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark3,0.7693,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches1,0.0265,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches2,3.6747,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches3,-1.5958,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage1,0.0509,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage2,2.9909,FALSE
DBHHT,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage3,-1.2271,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood1,0.0335,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood2,1.7389,FALSE
DBHHT,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood3,0.9835,FALSE
