genus,species,allo_var,family,a,b,cf,name,region
Quercus,ilex,bs,Fagaceae,-1.99607,2.01754,1.038099128,Madrid,ES-M
Quercus,ilex,bs,Fagaceae,-1.99607,2.01754,1.038099128,Toledo,ES-TO
Quercus,ilex,br,Fagaceae,-0.730281,2.7893,1.131330855,Caceres,ES-CC
Quercus,ilex,br,Fagaceae,-0.730281,2.7893,1.131330855,Madrid,ES-M
Quercus,ilex,br,Fagaceae,-0.730281,2.7893,1.131330855,Toledo,ES-TO
Quercus,ilex,bf,Fagaceae,-4.13268,2.97313,1.098620408,Caceres,ES-CC
Quercus,ilex,bf,Fagaceae,-4.13268,2.97313,1.098620408,Madrid,ES-M
Quercus,ilex,bf,Fagaceae,-4.13268,2.97313,1.098620408,Toledo,ES-TO
Quercus,ilex,bt,Fagaceae,-2.31596,2.47745,1.032724671,Caceres,ES-CC
Quercus,ilex,bt,Fagaceae,-2.31596,2.47745,1.032724671,Madrid,ES-M
Quercus,ilex,bt,Fagaceae,-2.31596,2.47745,1.032724671,Toledo,ES-TO
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,La Rioja,ES-LO
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,Madrid,ES-M
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,Segovia,ES-SG
Quercus,pyrenaica,bt,Fagaceae,-2.59695,2.53453,1.031055564,Caceres,ES-CC
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,La Rioja,ES-LO
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,Madrid,ES-M
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,Segovia,ES-SG
Quercus,pyrenaica,br,Fagaceae,-2.4543,2.13346,1.029751077,Caceres,ES-CC
Quercus,robur,br,Fagaceae,-2.46349,2.15149,1.087469812,Lugo,ES-GA
Quercus,robur,bf,Fagaceae,-3.69674,2.73143,1.043665094,Lugo,ES-GA
Quercus,robur,bt,Fagaceae,-2.30619,2.50077,1.016040933,Lugo,ES-GA
Quercus,robur,bs,Fagaceae,-2.63669,2.49279,1.020576923,Lugo,ES-GA
Quercus,suber,bt,Fagaceae,-3.36627,2.60685,1.090678371,Cadiz,ES-CA
Quercus,suber,bf,Fagaceae,-6.05826,2.14483,1.397912606,Cadiz,ES-CA
Quercus,suber,br,Fagaceae,-2.81593,2.07774,1.065627252,Cadiz,ES-CA
Quercus,suber,bs,Fagaceae,-3.01942,2.25213,1.085626401,Cadiz,ES-CA
